Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,Media URLs,URLs,Hashtags,Mentions
756346841973854209,Thank you for sending us your CRNs and showing us your interest for #OlaSelect yesterday. We'll get in touch with our winners shortly :),Ola,Olacabs,Fri Jul 22 04:35:14 +0000 2016,23,14,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,,0,1,0
756455385557446656,"@AverageIntel @PokemonGoApp 
Worry not, auto-connect ""lure mode"" in all Olacabs is on its way.",Ola,Olacabs,Fri Jul 22 11:46:32 +0000 2016,3,0,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,,0,0,2
756455843374075904,#KabaliDay https://t.co/jdQFl284qW,Ola,Olacabs,Fri Jul 22 11:48:21 +0000 2016,9,2,Undetermined,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,,1,1,0
756467451274027008,@suchetadalal We're in! Do let us know how we can help.,Ola,Olacabs,Fri Jul 22 12:34:29 +0000 2016,0,0,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,,0,0,1
756468982169821184,@suchetadalal @MoneylifeF Done.,Ola,Olacabs,Fri Jul 22 12:40:34 +0000 2016,1,0,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,,0,0,2
756485055069822977,"#FridayFeeling kicking in?
If you need a car for your weekend exploits, book #OlaRentals
 https://t.co/cbzF2ZEHmp https://t.co/XZn6rDkWyV",Ola,Olacabs,Fri Jul 22 13:44:26 +0000 2016,14,4,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,Photo,https://pbs.twimg.com/media/Cn-TE5-UsAEmsk3.jpg ,1,2,0
757469028340211712,"@sowmyarao_ Well traffic is annoying! But ride-sharing would help to reduce the cars on road, &amp; less cars = less traffic #OlaShare",Ola,Olacabs,Mon Jul 25 06:54:24 +0000 2016,0,0,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Reply,,,0,1,1
757479241998938112,Check your mailbox to find out your eco-friendly quotient. #OlaShare https://t.co/WH1JyhkqIW,Ola,Olacabs,Mon Jul 25 07:34:59 +0000 2016,6,2,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,,1,1,0
757534131915862016,"Stuck cos of the #BMTCStrike? Let us know, we might be able to help you #Bangalore",Ola,Olacabs,Mon Jul 25 11:13:06 +0000 2016,9,3,English,"<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon (Plus)</a>",Tweet,,,0,2,0
757562686439723008,There's enough for everyone! Catch 'em all on your app. https://t.co/ZgqLW9YvwV,Ola,Olacabs,Mon Jul 25 13:06:33 +0000 2016,39,5,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,GIF,https://video.twimg.com/tweet_video/CoNnMjpUMAAJ7wp.mp4 ,0,0,0
757568204289945601,"@RjVashishth Hey, when you get an 'Auto Upgrade' - you pay for the ride you have chosen. You just enjoy the ride :)",Ola,Olacabs,Mon Jul 25 13:28:29 +0000 2016,0,0,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Reply,,,0,0,1
757570124765204480,"@RjVashishth There are no extra payments. But if you feel that you've been charged wrongly, please share the particular invoice with us.",Ola,Olacabs,Mon Jul 25 13:36:07 +0000 2016,0,0,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Reply,,,0,0,1
